# a,b,weight
a,b,weight
mem_prompt_builder_layout,mem_ux_progressive_disclosure,0.8
mem_prompt_builder_layout,mem_primary_cta,0.6
mem_async_ui_states,mem_a11y_semantic_html,0.7
mem_fix_npm_eacces_macos,mem_antipattern_sudo_npm,0.9
mem_seed_001,mem_seed_015,0.8
mem_seed_003,mem_prompt_builder_layout,0.4
mem_seed_014,mem_seed_003,0.5
mem_seed_007,mem_fix_npm_eacces_macos,0.6
mem_seed_008,mem_seed_011,0.5
mem_seed_012,mem_seed_013,0.7
mem_seed_009,mem_seed_013,0.6
mem_seed_006,mem_seed_004,0.3
mem_seed_002,mem_seed_015,0.4
mem_seed_005,mem_seed_001,0.3
mem_react_chip_filters,mem_episode_chip_testing,0.6
mem_episode_autorefresh_cost_spike,mem_antipattern_autorun_keystroke,0.8
mem_episode_toast_abandonment,mem_antipattern_toast_only_errors,0.8
mem_episode_hydration_fix,mem_seed_006,0.3
mem_seed_010,mem_seed_011,0.4
mem_seed_014,mem_ux_progressive_disclosure,0.4

